id,type,month,date,year
790,Drafted,8,2,18
791,Drafted,7,29,18
792,Drafted,7,30,18
793,Drafted,9,1,18
794,Drafted,8,2,18
795,Drafted,8,2,18
796,Drafted,8,2,18
797,Drafted,8,24,18
798,Drafted,7,29,18
799,Drafted,8,23,18
800,Drafted,8,21,18
801,Drafted,8,31,18
802,Drafted,7,30,18
803,Drafted,7,18,18
804,Drafted,7,29,18
805,Drafted,9,1,18
806,Drafted,8,24,18
807,Drafted,8,19,18
808,Drafted,3,29,18
809,Drafted,3,29,18
810,Drafted,4,1,18
811,Volunteered,10,13,17
812,Drafted,8,4,18
813,Drafted,7,15,18
814,Drafted,7,16,18
815,Drafted,10,30,17
816,Drafted,7,17,18
817,Drafted,7,18,18
818,Drafted,7,3,18
819,Drafted,5,4,18
820,Drafted,4,26,18
821,Drafted,8,23,18
822,Drafted,7,31,18
823,Volunteered,3,28,17
824,Drafted,6,19,18
825,Volunteered,3,6,18
826,Drafted,6,16,18
827,Drafted,4,25,18
828,Drafted,7,31,18
829,Drafted,4,29,18
830,Drafted,4,25,18
831,Drafted,4,27,18
832,Drafted,7,31,18
833,Drafted,7,16,18
834,Drafted,4,26,18
835,Drafted,7,18,18
836,Drafted,4,2,18
837,Drafted,7,19,18
838,Drafted,7,18,18
839,Drafted,7,18,18
840,Drafted,8,31,18
841,Drafted,4,10,18
842,Drafted,5,25,18
843,Drafted,8,2,18
844,Drafted,7,17,18
845,Drafted,6,18,18
846,Drafted,7,27,18
847,Drafted,6,21,18
848,Drafted,8,3,18
849,Drafted,6,21,18
850,Drafted,7,16,18
851,Drafted,3,28,18
852,Drafted,4,1,18
853,Drafted,4,1,18
854,Drafted,3,31,18
855,Drafted,4,27,18
856,Drafted,3,30,18
857,Drafted,3,30,18
858,Drafted,4,15,18
859,Drafted,4,25,18
860,Drafted,8,2,18
861,Drafted,4,27,18
862,Drafted,4,27,18
863,Drafted,4,27,18
864,Drafted,4,27,18
